"fact_id","timestamp","egt_spread","engine_load"
"20809","2024-01-01 00:13:00","244.38","56.68"
"23889","2024-01-01 01:04:00","241.17","72.75"
"26556","2024-01-01 01:49:00","238.06","67.38"
"29221","2024-01-01 02:33:00","236.37","86.01"
"28537","2024-01-01 02:22:00","231.59","63.41"
"29518","2024-01-01 02:38:00","228.88","62.52"
"29297","2024-01-01 02:34:00","225.36","74.21"
"29096","2024-01-01 02:31:00","224.98","74.25"
"20516","2024-01-01 00:08:00","224.57","69.89"
"28376","2024-01-01 02:19:00","220.35","62.64"
"27660","2024-01-01 02:07:00","218.42","80.37"
"20224","2024-01-01 00:03:00","213.31","58.31"
"26986","2024-01-01 01:56:00","212.19","63.85"
"26908","2024-01-01 01:55:00","212.01","83.06"
"24573","2024-01-01 01:16:00","211.98","71.06"
"27962","2024-01-01 02:12:00","210.20","72.94"
"21632","2024-01-01 00:27:00","210.01","71.37"
"20335","2024-01-01 00:05:00","209.90","91.22"
"21919","2024-01-01 00:31:00","207.85","75.02"
"28773","2024-01-01 02:26:00","207.80","62.03"
"29725","2024-01-01 02:42:00","207.28","72.60"
"27085","2024-01-01 01:58:00","206.53","74.42"
"25659","2024-01-01 01:34:00","204.85","70.50"
"24917","2024-01-01 01:21:00","204.74","62.29"
"24846","2024-01-01 01:20:00","204.60","80.11"
"23190","2024-01-01 00:53:00","204.20","72.89"
"27999","2024-01-01 02:13:00","203.79","66.14"
"25686","2024-01-01 01:34:00","202.23","54.08"
"27667","2024-01-01 02:07:00","202.12","79.47"
"21789","2024-01-01 00:29:00","200.25","83.74"
"22695","2024-01-01 00:44:00","200.23","54.37"
"26602","2024-01-01 01:50:00","199.25","80.35"
"21664","2024-01-01 00:27:00","197.25","72.64"
"27503","2024-01-01 02:05:00","195.89","77.18"
"21311","2024-01-01 00:21:00","195.51","56.98"
"25033","2024-01-01 01:23:00","195.30","61.13"
"27650","2024-01-01 02:07:00","194.72","59.09"
"27710","2024-01-01 02:08:00","193.99","65.55"
"21775","2024-01-01 00:29:00","193.84","58.70"
"21586","2024-01-01 00:26:00","193.23","53.65"
"29483","2024-01-01 02:38:00","193.14","74.43"
"22098","2024-01-01 00:34:00","192.74","75.79"
"26095","2024-01-01 01:41:00","192.49","70.35"
"24712","2024-01-01 01:18:00","192.30","64.20"
"27427","2024-01-01 02:03:00","191.96","82.31"
"27213","2024-01-01 02:00:00","191.60","63.15"
"27218","2024-01-01 02:00:00","190.97","75.06"
"28959","2024-01-01 02:29:00","190.48","50.72"
"23820","2024-01-01 01:03:00","189.95","79.11"
"21641","2024-01-01 00:27:00","189.81","69.03"
"28676","2024-01-01 02:24:00","189.34","63.94"
"25171","2024-01-01 01:26:00","189.27","66.33"
"21067","2024-01-01 00:17:00","188.70","66.48"
"25556","2024-01-01 01:32:00","188.47","60.91"
"23418","2024-01-01 00:56:00","188.13","60.13"
"26788","2024-01-01 01:53:00","188.07","70.74"
"28193","2024-01-01 02:16:00","187.89","71.65"
"28427","2024-01-01 02:20:00","187.60","81.37"
"23492","2024-01-01 00:58:00","187.56","55.72"
"22743","2024-01-01 00:45:00","187.01","75.41"
"29425","2024-01-01 02:37:00","186.87","57.71"
"21463","2024-01-01 00:24:00","186.60","61.70"
"28423","2024-01-01 02:20:00","186.00","58.86"
"27204","2024-01-01 02:00:00","185.62","70.84"
"28720","2024-01-01 02:25:00","185.57","74.28"
"22521","2024-01-01 00:42:00","185.33","75.72"
"26765","2024-01-01 01:52:00","185.20","83.25"
"24041","2024-01-01 01:07:00","184.63","70.53"
"23946","2024-01-01 01:05:00","184.38","72.61"
"20875","2024-01-01 00:14:00","184.10","57.65"
"25839","2024-01-01 01:37:00","183.95","69.52"
"21238","2024-01-01 00:20:00","182.81","75.09"
"21209","2024-01-01 00:20:00","182.08","56.89"
"21338","2024-01-01 00:22:00","182.00","51.83"
"29907","2024-01-01 02:45:00","182.00","76.09"
"27493","2024-01-01 02:04:00","181.62","70.72"
"24806","2024-01-01 01:20:00","181.35","66.85"
"29662","2024-01-01 02:41:00","181.08","94.76"
"22773","2024-01-01 00:46:00","180.96","83.89"
"28094","2024-01-01 02:14:00","180.60","70.46"
"21382","2024-01-01 00:23:00","180.48","64.43"
"25730","2024-01-01 01:35:00","180.21","74.41"
"24545","2024-01-01 01:15:00","180.20","79.18"
"27806","2024-01-01 02:10:00","179.88","54.65"
"22929","2024-01-01 00:48:00","179.80","77.24"
"28091","2024-01-01 02:14:00","179.72","67.90"
"25129","2024-01-01 01:25:00","179.58","85.65"
"26792","2024-01-01 01:53:00","179.40","59.54"
"23271","2024-01-01 00:54:00","179.21","55.37"
"28802","2024-01-01 02:26:00","179.07","76.20"
"24242","2024-01-01 01:10:00","178.91","82.52"
"29395","2024-01-01 02:36:00","178.63","63.96"
"24794","2024-01-01 01:19:00","178.47","78.93"
"28663","2024-01-01 02:24:00","177.64","73.04"
"29045","2024-01-01 02:30:00","177.51","79.45"
"25374","2024-01-01 01:29:00","177.28","59.30"
"21070","2024-01-01 00:17:00","177.22","70.34"
"20333","2024-01-01 00:05:00","176.85","77.11"
"23918","2024-01-01 01:05:00","176.61","66.43"
"22832","2024-01-01 00:47:00","176.48","57.54"
"24309","2024-01-01 01:11:00","176.46","66.24"
"22756","2024-01-01 00:45:00","176.07","80.36"
"20994","2024-01-01 00:16:00","175.72","65.24"
"25211","2024-01-01 01:26:00","175.66","76.46"
"24439","2024-01-01 01:13:00","175.62","70.73"
"23735","2024-01-01 01:02:00","175.52","67.02"
"25434","2024-01-01 01:30:00","175.31","82.02"
"26538","2024-01-01 01:48:00","175.09","80.22"
"22497","2024-01-01 00:41:00","174.90","67.04"
"23273","2024-01-01 00:54:00","174.89","74.30"
"25218","2024-01-01 01:26:00","174.60","68.72"
"21094","2024-01-01 00:18:00","174.31","93.55"
"20401","2024-01-01 00:06:00","174.18","65.70"
"27873","2024-01-01 02:11:00","173.95","72.55"
"27744","2024-01-01 02:09:00","173.79","59.04"
"24292","2024-01-01 01:11:00","173.70","71.18"
"21674","2024-01-01 00:27:00","173.69","78.19"
"27821","2024-01-01 02:10:00","173.68","77.93"
"24372","2024-01-01 01:12:00","173.62","72.13"
"27837","2024-01-01 02:10:00","173.43","68.64"
"29228","2024-01-01 02:33:00","173.06","64.86"
"23722","2024-01-01 01:02:00","172.46","57.49"
"23728","2024-01-01 01:02:00","172.37","80.83"
"23262","2024-01-01 00:54:00","172.33","73.86"
"27485","2024-01-01 02:04:00","172.32","70.95"
"21493","2024-01-01 00:24:00","172.20","53.84"
"28711","2024-01-01 02:25:00","172.18","61.74"
"29190","2024-01-01 02:33:00","172.05","77.94"
"26322","2024-01-01 01:45:00","171.99","61.19"
"25917","2024-01-01 01:38:00","171.94","64.25"
"21322","2024-01-01 00:22:00","171.93","67.76"
"24934","2024-01-01 01:22:00","171.87","81.18"
"24079","2024-01-01 01:07:00","171.33","66.36"
"27113","2024-01-01 01:58:00","170.88","68.83"
"26796","2024-01-01 01:53:00","170.81","57.04"
"25385","2024-01-01 01:29:00","169.11","69.53"
"22484","2024-01-01 00:41:00","169.10","73.67"
"27936","2024-01-01 02:12:00","169.02","74.01"
"28115","2024-01-01 02:15:00","168.85","75.49"
"24103","2024-01-01 01:08:00","168.64","77.36"
"29200","2024-01-01 02:33:00","168.62","92.21"
"20691","2024-01-01 00:11:00","168.54","63.83"
"27507","2024-01-01 02:05:00","168.39","62.00"
